date,tp,1,2,3,4,5
2019/8/1,no,3248280.872,10010423.95,0,0,0
2019/9/1,no,1470433.559,5297678.093,0,0,0
2019/10/1,no,926919.4691,2232646.628,0,0,0
2019/11/1,no,726946.9245,1555146.862,0,0,0
2019/12/1,no,454526.9786,1379274.653,0,0,0
2020/1/1,no,310481.8579,1423812.726,0,0,0
2020/2/1,no,488905.6928,1084295.258,0,0,0
2020/3/1,no,1376655.183,7228902.793,0,0,0
2020/4/1,no,4281422.033,9493959.001,0,0,0
2020/5/1,no,5907629.933,5726897.435,0,0,0
2020/6/1,no,6796906.107,14857921.47,0,0,0
2020/7/1,no,1258908.201,7831853.527,0,0,0
2020/8/1,no,1229373.004,3997583.244,0,0,0
2020/9/1,no,1339030.518,2541892.093,0,0,0
2020/10/1,no,1944531.681,2803428.744,0,0,0
2020/11/1,no,288893.5986,1032353.389,0,0,0
2020/12/1,no,781304.3887,2137425.914,0,0,0
2016/1/1,don,658963.0429,4773646.12,0,0,0
2016/2/1,don,1546354.469,3958761.575,0,0,0
2016/3/1,don,577327.7608,3391761.03,0,0,0
2016/4/1,don,961856.5362,7140407.031,0,0,0
2016/5/1,don,1449758.075,6924907.35,0,0,0
2016/6/1,don,2233750.06,8137373.776,0,0,0
2016/7/1,don,1081224.461,3686077.775,0,0,0
2016/8/1,don,500695.0845,873577.8624,0,0,0
2016/9/1,don,1300582.68,7375876.88,0,0,0
2016/10/1,don,1528413.584,2393489.715,0,0,0
2016/11/1,don,414165.5134,1856273.415,0,0,0
2016/12/1,don,453316.8231,142738.9627,0,0,0
2017/1/1,don,625079.7408,330456.0382,0,0,0
2017/2/1,don,519113.3175,442008.5407,0,0,0
2017/3/1,don,436678.5314,1574989.164,0,0,0
2017/4/1,don,745989.1865,3110760.105,0,0,0
2017/5/1,don,685045.2465,983094.6353,0,0,0
2017/6/1,don,1448315.826,9727615.795,0,0,0
2017/7/1,don,1387041.07,5460231.243,0,0,0
2017/8/1,don,955457.032,338491.5661,0,0,0
2017/9/1,don,520864.1724,1239250.806,0,0,0
2017/10/1,don,132405.9693,496063.3739,0,0,0
2017/11/1,don,106318.8631,690504.4061,0,0,0
2017/12/1,don,1193340.065,815214.5728,0,0,0
2018/1/1,don,338067.4555,1728119.674,0,0,0
2018/2/1,don,377523.181,1056786.241,0,0,0
2018/3/1,don,239589.5111,2193229.027,0,0,0
2018/4/1,don,219627.5295,2819272.089,0,0,0
2018/5/1,don,824031.9725,2688067.504,0,0,0
2018/6/1,don,775155.9866,10816148.64,0,0,0
2018/7/1,don,1528229.809,6746574.334,0,0,0
2018/8/1,don,1067388.862,4307622.853,0,0,0
2018/9/1,don,1874500.449,8003094.963,0,0,0
2018/10/1,don,784979.8798,2881520.974,0,0,0
2018/11/1,don,716365.0671,3081844.494,0,0,0
2018/12/1,don,924412.2591,1301202.503,0,0,0
2019/1/1,don,393185.6579,1984333.817,0,0,0
2019/2/1,don,1051961.115,2562581.265,0,0,0
2019/3/1,don,2295081.642,5560632.671,0,0,0
2019/4/1,don,1391075.98,5542158.808,0,0,0
2019/5/1,don,1804600.485,5491556.488,0,0,0
2019/6/1,don,3910078.871,12282527.69,0,0,0
2019/7/1,don,3111040.661,8045568.006,0,0,0
2019/8/1,don,962453.5918,2745577.441,0,0,0
