time,1,2,3,4,5
0,7.325427358,5.826746395,6.872422705,29.67922055,35.39264716
240,7.925968365,6.119332456,7.149501949,31.40549813,37.4768196
480,10.80992013,9.281914817,9.881550009,33.84058133,39.16699069
720,7.999111066,6.505662393,7.55842255,30.47576942,36.00920674
960,7.621239266,5.852075772,6.877323596,30.85505054,36.93339742
1200,10.12557558,8.618990291,9.232209547,33.19594894,38.67467388
1440,7.960727758,6.467614002,7.457557991,30.50761693,36.06483007
1680,7.534482498,5.770079225,6.790112805,30.71823688,36.80171768
1920,10.3060575,8.798473867,9.358950676,33.47526674,39.02026184
2160,8.579663708,7.076012518,8.077115315,31.20281296,36.64081542
2400,7.243891583,5.499229449,6.520193627,30.17947726,36.2341326
2640,9.555756223,8.07755961,8.676570731,32.78234284,38.45502818
2880,8.664211889,7.166109585,8.097759237,31.37688311,36.84876238
3120,7.328143055,5.612742719,6.605406282,30.26876278,36.29008027
3360,9.679479885,8.188074563,8.788985085,32.9795348,38.69477612
3600,9.202927612,7.688192424,8.629264276,31.95011198,37.32832313
3840,7.09019821,5.423483013,6.464222097,29.82664126,35.78201053
4080,8.884824862,7.355602547,8.072826206,32.26095259,38.07258935
4320,9.432081876,7.90891182,8.797533403,32.28643616,37.65341965
4560,7.348474464,5.731992803,6.740491645,30.15606471,36.06483007
4800,9.004622074,7.483602251,8.195575335,32.40622611,38.23936206
5040,9.818768846,8.276165809,9.186536247,32.70410156,38.00866305
5280,7.214555798,5.664010129,6.679892604,29.76513297,35.57589606
5520,8.176701026,6.507178432,7.396981256,31.53873802,37.50033384
5760,10.05313678,8.509888775,9.290747803,33.02686375,38.4175481
6000,7.711257525,6.188023948,7.18544466,30.37003652,36.08510097
6240,8.311121047,6.680788403,7.549214515,31.68300679,37.65033847
6480,10.27950346,8.734861219,9.515452161,33.2599054,38.63246501
6720,7.609660361,6.124954277,7.123687555,30.05918494,35.67416937
6960,7.439474981,5.633944874,6.683784459,30.62725235,36.72858029
7200,10.24853234,8.752697219,9.295379586,33.39144937,38.93666142
7440,8.352126164,6.85450761,7.852323154,30.93953272,36.4386254
7680,7.632638441,5.897227334,6.89350802,30.80163448,36.89577464
7920,10.39192198,8.892038382,9.444490342,33.51784111,39.04637075
8160,8.216674502,6.747571258,7.740879391,30.64097546,36.06823558
8400,6.812159844,4.984338502,6.083025272,29.6229572,35.80309227
8640,9.999454539,8.486117688,9.005312935,33.44868291,39.21479433
8880,9.184629265,7.682224136,8.661967254,31.74764945,37.05270381
9120,7.147743632,5.401480248,6.482200572,30.00941587,36.08201979
9360,10.10014577,8.599370235,9.117146358,33.5082665,39.2457488
9600,9.003632769,7.523273503,8.498701534,31.45048142,36.70487145
9840,6.455759818,4.707207829,5.827050803,28.8310015,34.93403841
10080,9.448200758,7.785010335,8.512633903,33.22274997,39.17897485
10320,10.15705786,8.619786609,9.56808239,32.76927955,37.87502757
10560,6.966223898,5.323436189,6.467591875,29.49791353,35.46059521
10800,9.526661459,7.918151175,8.614228898,33.22724867,39.15398489
11040,9.921857824,8.409774965,9.346434563,32.4489249,37.53915666
11280,6.389234608,4.811979627,5.911520683,28.38337653,34.32574937
11520,8.722877689,6.872709033,7.862774685,32.6314897,38.81092024
11760,11.06599865,9.513290119,10.37023182,33.8284503,38.84656459
12000,7.114990748,5.599959403,6.73857894,29.33498503,35.08485388
12240,8.786977674,7.007756411,7.957427463,32.59737051,38.73950182
12480,10.87015137,9.329359758,10.19626587,33.58763864,38.55828001
12720,6.661595597,5.207417068,6.293775429,28.43383618,34.09514765
12960,7.949106984,5.952822315,7.135866215,31.79818013,38.0917575
13200,12.05595879,10.55851743,10.98629502,35.03405165,39.94873374
13440,7.711526115,6.267485958,7.448450099,29.70637604,35.1242605
13680,8.068033849,6.156089551,7.304791738,31.77339813,38.00467374
13920,11.61662023,10.10456256,10.66144752,34.53792967,39.59040917
14160,7.229765583,5.833944898,6.932848986,28.95311952,34.35056094
14400,7.140601543,5.112977623,6.372962827,30.58474799,36.96777686
14640,12.09124483,10.64816647,10.78489291,35.31978216,40.53999524
14880,8.431146271,7.00764837,8.158295629,30.36440345,35.54248963
15120,7.316051476,5.387715609,6.609222199,30.62595613,36.97134454
15360,11.75563752,10.29751208,10.55770441,34.94758193,40.23178032
15600,8.062926388,6.673776905,7.767908803,29.83732521,35.00182429
15840,6.511258895,4.557451593,5.796155164,29.3413951,35.74390125
16080,11.63807662,10.08427529,10.31346863,35.34050267,40.85661042
16320,9.446640898,8.011898953,9.099718913,31.3221742,36.18460674
16560,6.790675666,4.931598451,6.190534464,29.56809992,35.86374279
16800,11.40783286,9.878946076,10.18064007,35.01491297,40.47842036
17040,9.634435706,8.257110036,9.276629859,31.2805643,35.86294817
17280,6.198831145,4.416499912,5.673074278,28.31043512,34.64148884
17520,10.56796235,8.870611365,9.4402411,34.59330251,40.49258729
17760,10.18619871,8.678570009,9.709192535,32.39408629,37.20486526
18000,6.565940265,4.848274748,6.090733045,28.88066877,34.99371593
18240,10.24296308,8.589837812,9.200327655,34.14890711,40.08248387
18480,9.957842514,8.46531562,9.461437,32.19124734,37.07443421
18720,6.199040737,4.56007873,5.72795419,28.08790238,34.15125749
18960,9.542246622,7.702393936,8.583190399,33.73417103,39.81572423
19200,11.30864141,9.714864289,10.71444415,33.86802315,38.4626176
19440,6.743903282,5.200098084,6.428574597,28.78905444,34.64278618
19680,9.246205958,7.434216572,8.364264023,33.29795237,39.37055914
