,1-5_a,10-12_a,11-12_a,4-9_a,6-11_a,6-9-2_a,6-9_a,8-10_a,9-11_a,9-10_a,5-6_a,1-5_b,10-12_b,11-12_b,4-9_b,6-11_b,6-9-2_b,6-9_b,8-10_b,9-11_b,9-10_b,5-6_b,sea_a,sea_b
7010,20680000,657000000,324000000,85500000,420900000,126800000,109347600,30889000,393200000,0,145111000,0,0,0,0,0,0,0,0,0,55610000,0,1052570000,0
7011,20100000,536000000,278000000,86650000,380400000,112800000,103501800,33266000,336300000,0,130096000,0,0,0,0,0,0,0,0,0,43270000,0,837060000,0
7012,13620000,226000000,133000000,49110000,167600000,46800000,56530000,29434000,188700000,0,63423000,0,0,0,0,0,0,0,0,0,27850000,0,330200000,0
7013,0,0,0,0,0,0,0,12123000,0,0,0,4340000,231000000,138000000,34490000,159200000,72000000,44168000,0,79900000,5880000,49915000,0,450410000
7014,0,0,0,0,0,0,0,0,0,26800000,0,13980000,713000000,226000000,64600000,363900000,120200000,87480000,21357000,338300000,0,113881000,0,1042540000
7015,0,0,0,0,0,0,0,0,0,22230000,0,13060000,701000000,267000000,64270000,381200000,113100000,88678500,28352000,352000000,0,118431000,0,1052360000
7016,0,0,0,0,0,0,0,0,0,16340000,0,11920000,579000000,196000000,54060000,292100000,92300000,72986500,27322000,290600000,0,97154000,0,847020000
7017,0,0,0,0,0,0,0,0,0,12960000,0,10440000,488000000,182000000,46120000,242100000,81400000,61806000,24937000,257800000,0,81224000,0,715300000
7018,0,0,0,0,0,0,0,0,0,0,0,8950000,235000000,61000000,36070000,114700000,48700000,42396000,20983000,140100000,2410000,53405000,0,281380000
7019,0,67000000,93000000,0,35500000,7100000,0,0,34100000,0,639000,5980000,0,0,13650000,0,0,7014000,11785000,0,24630000,0,230120000,0
7020,4320000,389000000,235000000,23780000,202600000,67100000,40298000,7707000,225100000,0,60387000,0,0,0,0,0,0,0,0,0,37190000,0,727880000,0
7021,13050000,642000000,260000000,54520000,339600000,98600000,80531700,19727000,347400000,0,110231000,0,0,0,0,0,0,0,0,0,53160000,0,1004320000,0
