num,input_nh/mg min,input_no/mg min,input_don/mg min
1,56621.13125,34579.33373,0
2,34365.94675,20987.77462,0
3,58994.99292,36029.08496,0
4,38234.19421,23350.16861,0
5,17266.13369,10544.67451,0
