sta,time,num,num_new,p,no3,nh4,cha
三都澳口,2019-8-19,11,4,24.4,0.1372,0.02075,0.605
三都澳口外,2019-8-15,12,5,27.9,0.0687,0.01967,2.1059
三都澳上鼻头角,2019-8-8,9,3,21.3,0.249,0.064,1.34
三都澳湾坞,2019-8-16,3,2,39.4,0.196,0.018,0.88
三都澳湾坞北,2019-8-16,2,2,33.2,0.585,0.058,1.49
三都澳云淡,2019-8-8,1,1,14.9,0.3595,0.0745,1.46
三都澳漳湾,2019-7-24,1,1,12.4,0.4095,0.0525,1.3499
三都东冲半岛西,2019-8-14,10,4,41.2,0.1155,0.0375,0.665
三都镇北,2019-8-8,5,2,18.5,0.2155,0.0595,1.8
三都镇南,2019-8-14,6,1,15.9,0.081,0.0155,1.52
盐田港,2019-7-24,4,2,8.6,0.3635,0.0445,3.3308
盐田港口,2019-8-14,9,3,35.1,0.1385,0.023,1.27
白马港,2019-10-16,3,2,25.6,0.2365,0.0265,4.08
白马港口,2019-10-17,4,2,38.5,0.596,0.0235,0.91
东吾洋,2019-10-16,8,3,18.8,0.283,0.01,2.64
东吾洋内,2019-10-29,8,3,70.6,0.453,0.076,0.6
官井洋,2019-10-16,6,1,31.8,0.321,0.01633,5.3267
金门北,2019-11-1,3,2,140.6,0.851,0.039,0.79
宁德东冲半岛西,2019-10-30,10,4,70.8,0.499,0.064,0.525
三都澳礁头,2019-10-16,6,1,22.2,0.148,0.034,4.285
三都澳金蛇头,2019-10-17,7,1,55.7,0.709,0.12,0.65
三都澳口,2019-10-17,11,4,61.7,0.5095,0.028,0.655
三都澳口外,2019-10-11,12,5,34.3,0.282,0.01633,2.7033
三都澳上鼻头角,2019-10-17,9,3,56,0.6295,0.018,0.545
三都澳湾坞,2019-11-1,3,2,362,0.965,0.012,0.44
三都澳湾坞北,2019-11-1,2,2,326,1.05,0.009,0.92
三都澳云淡,2019-10-17,1,1,30.9,0.664,0.045,1.5
三都澳漳湾,2019-10-16,1,1,23.5,0.4005,0.009,2.915
三都东冲半岛西,2019-10-17,10,4,48.4,0.5257,0.031,0.67
三都镇北,2019-10-17,5,2,47.6,0.6145,0.0295,0.775
三都镇南,2019-10-17,6,1,57.2,0.5995,0.0325,0.49
盐田港,2019-10-16,4,2,39.3,0.387,0.027,1.405
盐田港口,2019-10-17,9,3,44.5,0.5835,0.0355,0.72
白马港口,2020-4-21,4,2,12.1,0.4645,0.151,1.43
白马港内湾,2020-4-21,3,2,25.8,0.506,0.15,1.44
白马港西侧,2020-4-21,3,2,13,0.515,0.155,1.55
东吾洋,2020-5-14,8,3,16.9,0.267,0.129,0.865
东吾洋口东冲半岛内侧,2020-4-21,10,4,10.6,0.3123,0.20333,2.3067
东吾洋内,2020-4-21,8,3,41.2,0.14,1.262,1.19
官井洋,2020-5-14,6,1,16,0.2233,0.094,1.57
宁德东冲半岛西,2020-4-21,10,4,9.2,0.323,0.63833,1.3267
三都澳城澳港口,2020-5-20,11,4,16,0.2123,0.08167,2.1033
三都澳金蛇头,2020-4-21,7,1,31,0.422,0.235,1.97
三都澳口,2020-5-20,11,4,9.8,0.2147,0.24333,1.45
三都澳口外,2020-5-14,12,5,15.9,0.1422,0.0675,0.7575
三都澳上鼻头角,2020-4-21,9,3,15.1,0.424,0.3275,2.1
三都澳湾坞,2020-4-21,3,2,16.8,0.6905,0.1235,1.52
三都澳湾坞北,2020-4-21,2,2,18.7,0.741,0.11,1.31
三都澳云淡,2020-4-21,1,1,6.8,0.502,0.21,2.26
三都澳漳湾,2020-5-14,1,1,6.3,0.3935,0.1465,3.17
三都东冲半岛西,2020-5-20,10,4,12.4,0.2023,0.105,1.1967
三都镇南,2020-4-21,6,1,8.2,0.3625,0.131,1.77
盐田港,2020-4-21,4,2,17.8,0.688,0.2625,1.3
盐田港白马角,2020-4-21,4,2,16,0.493,0.2025,1.53
盐田港口,2020-4-21,9,3,16.6,0.35,0.1425,2.095
漳湾横屿东,2020-4-21,1,1,9.3,0.484,0.65,2.33
白马港口,2020-8-18,4,2,12.8,0.1605,0.0215,1.97
白马港内湾,2020-8-18,3,2,18,0.2115,0.0255,3.51
白马港西侧,2020-8-18,3,2,13.1,0.237,0.017,4
东吾洋,2020-8-13,8,3,25.7,0.318,0.005,1.965
东吾洋口东冲半岛内侧,2020-8-19,10,4,17.1,0.104,0.0025,0.87
东吾洋内,2020-8-19,8,3,26.8,0.18,0.017,0.92
官井洋,2020-8-13,6,1,16.2,0.3413,0.005,1.7867
宁德东冲半岛西,2020-8-19,10,4,17.3,0.1493,0.02967,0.7567
三都澳城澳港口,2020-8-19,11,4,31.2,0.1465,0.002L,0.87
三都澳金蛇头,2020-8-18,7,1,94.8,0.255,0.082,0.93
三都澳口,2020-8-19,11,4,12.8,0.123,0.00967,1.6333
三都澳口外,2020-8-1,12,5,29,0.08,0.00285,0.77
三都澳上鼻头角,2020-8-18,9,3,16.6,0.1365,0.0075,1.34
三都澳湾坞,2020-8-18,3,2,13.1,0.355,0.012,6.58
三都澳湾坞北,2020-8-18,2,2,17.6,0.415,0.02,6.93
三都澳云淡,2020-8-18,1,1,9.7,0.208,0.029,1.4
三都澳漳湾,2020-8-13,1,1,19.1,0.325,0.011,1.785
三都东冲半岛西,2020-8-19,10,4,17.2,0.0653,0.00367,1.5533
三都镇南,2020-8-18,6,1,17.4,0.16,0.0075,0.86
盐田港,2020-8-18,4,2,17.1,0.1745,0.0185,1.57
盐田港白马角,2020-8-18,4,2,14.4,0.15,0.039,1.805
盐田港口,2020-8-18,9,3,22.8,0.1325,0.027,1.39
漳湾横屿东,2020-8-18,1,1,12.5,0.18,0.019,1.17
白马港口,2020-10-13,4,2,9.4,0.5765,0.002L,2.26
白马港内湾,2020-10-13,3,2,9,0.6185,0.002L,1.805
白马港西侧,2020-10-13,3,2,11.3,0.74,0.002L,1.91
东吾洋,2020-11-3,8,3,22.2,0.421,0.074,0.325
东吾洋口东冲半岛内侧,2020-10-13,10,4,50.2,0.402,0.021,2.41
