,Edge 1,Edge 2,Edge 3,Edge 4,Edge 5,Edge 6,Edge 7,Edge 8,Edge 9,Edge 10,Edge 11,Edge 12,Edge 13,Edge 14
18826,77520000,41730000,0,0,74000000,0,0,22680000,71600000,192500000,26010000,271060000,592200000,687000000
18827,195230000,115890000,0,0,189000000,0,0,61248000,137400000,445400000,86060000,612700000,1134000000,1239600000
18828,159730000,100210000,0,0,180000000,0,0,59965000,108500000,372400000,81440000,532900000,853400000,888000000
18829,19127000,65100000,143200000,29790000,112000000,353500000,425400000,57000000,39020000,0,0,25990000,0,0
18830,58366000,146300000,453800000,80380000,623090000,1191100000,1300100000,187280000,109470000,0,0,169000000,0,0
18831,44890000,99600000,301100000,64270000,474450000,786900000,832100000,137660000,82110000,0,0,140000000,0,0
18832,11450000,1340000,0,5360000,37500000,0,0,2150000,18500000,46100000,0,53900000,169800000,231400000
18833,169120000,99880000,0,0,162000000,0,0,51460000,127400000,391400000,71910000,544680000,1039700000,1145900000
18834,161780000,100310000,0,0,169000000,0,0,58338000,110200000,371400000,80940000,517440000,858300000,900700000
18835,7478000,42100000,71900000,14500000,74600000,194400000,257500000,27920000,20080000,0,0,46680000,0,0
18836,57850000,148300000,452600000,79540000,618660000,1201600000,1318600000,185640000,109010000,0,0,166000000,0,0
18837,48330000,112800000,336100000,69720000,521340000,896800000,959200000,152150000,90380000,0,0,152000000,0,0
18838,9200000,2100000,0,18700000,60110000,0,0,15010000,14350000,3800000,0,26300000,64400000,123900000
18839,171340000,98660000,0,0,168000000,0,0,51880000,131500000,405900000,68680000,569150000,1121400000,1255100000
18840,221130000,133720000,0,0,217000000,0,0,74941000,152400000,502200000,105480000,678510000,1187400000,1266900000
18841,55590000,35630000,0,0,137000000,0,0,23900000,23200000,125500000,30460000,311300000,289200000,254300000
18842,58734000,156000000,455300000,83500000,573650000,1191400000,1319500000,184100000,112350000,0,0,140000000,0,0
18843,59257000,139300000,438600000,82660000,633450000,1151700000,1244600000,188700000,110640000,0,0,179000000,0,0
18844,27320000,47700000,119400000,42580000,264110000,290500000,265500000,71030000,46180000,0,0,86000000,0,0
18845,129790000,72920000,0,0,122000000,0,0,38300000,108000000,315800000,48510000,432750000,909100000,1034200000
18846,222420000,132860000,0,0,213000000,0,0,73112000,152400000,501100000,102890000,673950000,1203300000,1292400000
18847,83820000,55110000,0,0,147000000,0,0,35001000,48000000,194000000,46450000,367740000,435400000,415200000
18848,54838000,148100000,421900000,78160000,511780000,1104700000,1232100000,169440000,105060000,0,0,120000000,0,0
18849,61405000,147800000,464900000,85600000,661440000,1230100000,1337000000,197840000,115740000,0,0,185000000,0,0
18850,33850000,65300000,163100000,51370000,328850000,413700000,400700000,92640000,58310000,0,0,104000000,0,0
18851,112160000,60570000,0,0,109000000,0,0,31360000,96500000,284600000,37480000,387850000,856100000,990300000
18852,247700000,145900000,0,0,236000000,0,0,79808000,170800000,562500000,110060000,754900000,1384900000,1503800000
18853,154120000,99240000,0,0,194000000,0,0,59351000,98400000,356500000,82720000,542230000,790900000,797800000
18854,47279000,136000000,354100000,68840000,355310000,907400000,1031900000,143360000,91010000,0,0,59000000,0,0
18855,68900000,167200000,538200000,94880000,736320000,1408000000,1535400000,222830000,129910000,0,0,202000000,0,0
18856,44520000,96100000,259400000,65410000,460360000,683500000,702200000,131030000,79550000,0,0,140000000,0,0
18857,62920000,30600000,0,0,53500000,0,0,14390000,60700000,180800000,13930000,209670000,573900000,691900000
18858,243310000,142260000,0,0,234000000,0,0,76468000,171200000,562000000,103790000,756880000,1429900000,1562200000
18859,196950000,123580000,0,0,215000000,0,0,72859000,131200000,450800000,101850000,635180000,1006400000,1032900000
18860,28637000,97700000,220500000,43800000,172510000,566000000,674500000,88680000,58220000,0,0,20680000,0,0
18861,76530000,192700000,623200000,105040000,829280000,1640700000,1790800000,250670000,146230000,0,0,223000000,0,0
18862,52400000,116100000,319100000,76290000,543240000,839500000,872900000,157420000,94560000,0,0,163000000,0,0
18863,35300000,11510000,0,1730000,45670000,0,0,5670000,36600000,122100000,0,126600000,415000000,527500000
18864,238770000,138550000,0,0,230000000,0,0,74016000,170800000,558300000,98700000,753680000,1456000000,1605900000
18865,227050000,140270000,0,0,229000000,0,0,81182000,152800000,515700000,114930000,696970000,1150700000,1195800000
18866,21178000,82900000,174800000,32750000,146200000,445400000,549200000,70260000,44610000,0,0,48900000,0,0
18867,74680000,185700000,597600000,102260000,791030000,1562300000,1713100000,241500000,141030000,0,0,212000000,0,0
18868,55900000,130100000,375200000,80090000,601720000,1004800000,1066200000,173370000,103160000,0,0,177000000,0,0
18869,9820000,0,0,18880000,67590000,0,0,6890000,15740000,39000000,0,51500000,177400000,269800000
18870,221890000,127630000,0,0,217000000,0,0,67550000,164500000,532600000,87910000,725050000,1442300000,1604500000
18871,263600000,159670000,0,0,255000000,0,0,91356000,179200000,596700000,128820000,788670000,1356000000,1423200000
18872,12510000,27250000,0,0,138000000,0,15400000,8578000,0,26000000,7750000,241920000,56900000,0
18873,77784000,201800000,634900000,106540000,815350000,1686700000,1861000000,248580000,147700000,0,0,209000000,0,0
18874,67320000,157800000,470000000,95480000,713330000,1229700000,1305800000,213220000,125320000,0,0,207000000,0,0
18875,21200000,22200000,29000000,34350000,161130000,17600000,0,38930000,30640000,0,0,59000000,0,59600000
18876,201570000,114900000,0,0,194000000,0,0,60240000,153800000,490700000,77640000,662290000,1354900000,1522900000
18877,269280000,161760000,0,0,254000000,0,0,91762000,183400000,608800000,129190000,796370000,1396300000,1477100000
18878,21490000,27620000,0,0,127000000,0,0,11744000,0,45200000,15010000,238070000,79500000,8400000
18879,75456000,193700000,604200000,104480000,771330000,1580200000,1745500000,240900000,143190000,0,0,199000000,0,0
18880,65360000,155900000,473400000,91930000,707960000,1263000000,1361900000,207960000,122330000,0,0,203000000,0,0
18881,28570000,44600000,88900000,44350000,247650000,195300000,139900000,65960000,45330000,0,0,83000000,0,0
18882,174850000,97690000,0,0,172000000,0,0,50440000,138600000,440100000,63250000,597050000,1265200000,1440800000
18883,294090000,174140000,0,0,276000000,0,0,98059000,200900000,665400000,135700000,870990000,1569000000,1676000000
18884,111190000,73950000,0,0,205000000,0,0,44245000,58600000,256400000,62470000,499960000,580900000,547600000
18885,68478000,187600000,541900000,98010000,629570000,1434600000,1609400000,212790000,132780000,0,0,139000000,0,0
18886,77836000,187700000,592500000,108660000,831950000,1540800000,1656100000,252940000,147420000,0,0,232000000,0,0
18887,38250000,69200000,158300000,57360000,358840000,389800000,353300000,97340000,62850000,0,0,116000000,0,0
18888,148250000,80900000,0,0,137000000,0,0,40790000,121700000,378400000,50360000,491980000,1101000000,1267200000
18889,285700000,168650000,0,0,266000000,0,0,94082000,195800000,648800000,129790000,848600000,1548600000,1664100000
18890,121010000,80280000,0,0,195000000,0,0,47448000,67500000,277800000,67970000,496270000,610400000,580800000
18891,67911000,185100000,535300000,97540000,618300000,1401300000,1572500000,211830000,131610000,0,0,139000000,0,0
18892,75579000,182600000,577900000,105150000,811380000,1515600000,1641900000,244890000,142940000,0,0,226000000,0,0
18893,42190000,86000000,207200000,63090000,422970000,544000000,530700000,116300000,73090000,0,0,133000000,0,0
18894,113920000,59330000,0,0,109000000,0,0,27860000,98900000,312600000,32590000,398100000,960700000,1126900000
18895,296560000,173040000,0,0,280000000,0,0,95931000,204000000,678800000,129050000,895950000,1672700000,1815400000
18896,201600000,129550000,0,0,241000000,0,0,75084000,128700000,459000000,108310000,680820000,1011700000,1017000000
18897,47384000,143500000,358900000,70920000,310210000,929400000,1080600000,144360000,93710000,0,0,31000000,0,0
18898,86321000,213200000,697500000,118920000,927110000,1808200000,1954800000,283260000,164880000,0,0,252000000,0,0
18899,51760000,110300000,285400000,75600000,525540000,744600000,752300000,149330000,90940000,0,0,160000000,0,0
18900,85380000,42010000,0,0,69200000,0,0,18300000,78700000,245700000,19540000,274930000,758800000,906000000
18901,271740000,158910000,0,0,254000000,0,0,86664000,188900000,624000000,117600000,823700000,1551500000,1689400000
18902,181380000,116170000,0,0,212000000,0,0,67867000,116000000,411300000,97420000,603710000,895000000,900600000
18903,53385000,153600000,410800000,77670000,412730000,1053200000,1201100000,165510000,103570000,0,0,74000000,0,0
18904,75716000,184100000,596100000,104190000,810480000,1564200000,1709400000,245570000,143230000,0,0,222000000,0,0
18905,49640000,113800000,302000000,73100000,534920000,823300000,855500000,149520000,90730000,0,0,161000000,0,0
18906,51670000,20810000,0,0,59660000,0,0,8610000,51500000,175500000,3280000,197550000,594300000,736200000
18907,270670000,156240000,0,0,261000000,0,0,84870000,190800000,633400000,111110000,851030000,1643800000,1810900000
18908,260260000,160620000,0,0,263000000,0,0,92495000,172600000,589100000,132250000,789670000,1297900000,1338300000
18909,22915000,92800000,186100000,36870000,154900000,447200000,546400000,77870000,49400000,0,0,63360000,0,0
18910,81360000,205700000,675200000,110650000,883040000,1788500000,1966400000,264830000,155070000,0,0,234000000,0,0
18911,59450000,133500000,376600000,85400000,616000000,981400000,1025900000,181070000,107630000,0,0,184000000,0,0
18912,22220000,2070000,0,9840000,53540000,0,0,2120000,25000000,95200000,0,91700000,338500000,452000000
18913,249150000,144630000,0,0,237000000,0,0,76960000,180500000,589800000,102060000,787610000,1544400000,1701700000
18914,250650000,154430000,0,0,253000000,0,0,89414000,169300000,568800000,126360000,766290000,1270600000,1314500000
18915,9347000,57600000,81500000,19450000,100000000,184900000,277100000,34860000,25840000,0,0,107240000,0,0
18916,84757000,218300000,711800000,114650000,927340000,1914500000,2108100000,274200000,161240000,0,0,243000000,0,0
18917,67840000,159900000,457400000,97490000,723510000,1203000000,1266400000,213790000,126420000,0,0,213000000,0,0
18918,19130000,11200000,0,31180000,112490000,0,0,25790000,24520000,7900000,0,46000000,101000000,199900000
18919,227820000,129710000,0,0,221000000,0,0,68260000,170300000,557700000,87160000,748430000,1528100000,1708700000
18920,290320000,174230000,0,0,278000000,0,0,99633000,197900000,648900000,140370000,857140000,1475000000,1554100000
18921,33620000,25090000,0,0,169000000,0,0,18328000,0,73500000,18890000,326240000,193700000,136500000
18922,65802000,172000000,514800000,91290000,656430000,1359500000,1512900000,204600000,123820000,0,0,163000000,0,0
18923,73299000,180200000,574400000,102340000,812180000,1527300000,1640500000,240290000,140240000,0,0,227000000,0,0
18924,28490000,35900000,71900000,45070000,230510000,116600000,42300000,62380000,43460000,0,0,81000000,0,0
18925,192380000,109850000,0,0,178000000,0,0,57130000,148800000,465500000,74360000,620080000,1280200000,1437300000
18926,253190000,152740000,0,0,241000000,0,0,86730000,173200000,572100000,122320000,751790000,1307100000,1379300000
18927,8140000,24550000,0,0,106000000,0,67100000,7143000,0,11000000,6540000,185700000,6200000,0
18928,75023000,192200000,605000000,103520000,781200000,1589700000,1752400000,240690000,142540000,0,0,204000000,0,0
18929,63720000,152800000,459100000,90180000,695490000,1234600000,1333000000,202830000,119570000,0,0,200000000,0,0
18930,29310000,48000000,96700000,45250000,258200000,223600000,174200000,69030000,47080000,0,0,86000000,0,0
18931,161330000,89150000,0,0,163000000,0,0,45550000,129700000,410400000,56750000,561010000,1201200000,1372600000
18932,289760000,170410000,0,0,273000000,0,0,95641000,197900000,654400000,131190000,863990000,1568200000,1684900000
18933,144440000,95540000,0,0,218000000,0,0,56094000,86400000,332800000,80230000,568120000,751200000,739800000
18934,53061000,151700000,398300000,78140000,413930000,1046000000,1192400000,159580000,103250000,0,0,71000000,0,0
18935,78984000,193000000,625900000,109240000,848270000,1621600000,1745100000,258370000,150340000,0,0,233000000,0,0
18936,41170000,75700000,190700000,60840000,391060000,467900000,445700000,109440000,68440000,0,0,124000000,0,0
18937,121200000,65810000,0,0,101000000,0,0,33510000,103000000,302800000,41200000,380700000,876100000,1011100000
18938,241730000,143690000,0,0,228000000,0,0,79179000,166200000,546600000,110740000,723570000,1308300000,1405200000
18939,91720000,60390000,0,0,148000000,0,0,37477000,52300000,210700000,50910000,387340000,469400000,445600000
18940,60106000,161100000,468800000,85760000,565070000,1223600000,1365900000,186960000,115680000,0,0,134000000,0,0
18941,65680000,158700000,500600000,91520000,711570000,1330300000,1450000000,212110000,124090000,0,0,200000000,0,0
18942,39230000,82700000,205800000,59010000,401180000,549000000,550400000,111710000,69450000,0,0,124000000,0,0
18943,85500000,43410000,0,0,84000000,0,0,20490000,77600000,237200000,22720000,307690000,750200000,886100000
18944,254940000,148180000,0,0,245000000,0,0,80860000,177000000,585100000,108520000,789420000,1485300000,1623600000
18945,211260000,132360000,0,0,229000000,0,0,77187000,140200000,482400000,109210000,674500000,1075000000,1107000000
18946,23920000,87300000,180600000,37220000,148600000,448400000,543400000,74550000,49350000,0,0,44140000,0,0
18947,74297000,185100000,596500000,101560000,792500000,1558500000,1696700000,240130000,140100000,0,0,213000000,0,0
18948,50450000,105900000,304000000,72310000,507770000,773100000,797100000,149110000,89150000,0,0,154000000,0,0
18949,41360000,18590000,0,0,38500000,0,0,8360000,43200000,119400000,6510000,120340000,373800000,465500000
18950,209100000,123720000,0,0,199000000,0,0,65020000,150600000,484700000,90360000,655220000,1239700000,1352300000
18951,158590000,99690000,0,0,177000000,0,0,59836000,106200000,363500000,82240000,523150000,813600000,834900000
18952,32386000,96900000,248700000,48070000,219440000,637800000,740300000,98650000,63820000,0,0,27000000,0,0
18953,66590000,165300000,526500000,91600000,715120000,1386400000,1516100000,216450000,126170000,0,0,195000000,0,0
18954,47820000,110400000,309400000,70040000,516020000,836500000,884600000,147170000,88370000,0,0,153000000,0,0
18955,12490000,0,0,10620000,40060000,0,0,920000,17640000,60900000,0,63100000,233500000,316200000
18956,190820000,109330000,0,0,187000000,0,0,58300000,141000000,448100000,76570000,624020000,1219000000,1358700000
18957,221240000,133940000,0,0,218000000,0,0,75397000,151100000,499800000,106820000,674410000,1165100000,1236300000
18958,34190000,22670000,0,0,117000000,0,0,15951000,3800000,79400000,20280000,247950000,176700000,133900000
18959,58658000,153000000,448600000,82260000,582520000,1170700000,1287800000,183370000,110580000,0,0,148000000,0,0
18960,53240000,120200000,379100000,74350000,555990000,978600000,1046000000,166340000,97770000,0,0,159000000,0,0
18961,13770000,16000000,48300000,24440000,149070000,97500000,60400000,32690000,23630000,0,0,55000000,0,0
18962,142230000,83860000,0,0,132000000,0,0,42770000,114600000,333300000,59200000,463730000,916300000,1021500000
18963,172770000,106020000,0,0,172000000,0,0,59930000,118900000,394600000,84260000,539030000,926300000,982000000
18964,12000000,15540000,0,0,79000000,0,0,7437000,0,26900000,5420000,145490000,50300000,7100000
18965,54967000,143700000,425900000,76080000,575530000,1135000000,1251300000,173330000,103590000,0,0,152000000,0,0
18966,51950000,124000000,379500000,73900000,566390000,1017500000,1102900000,166070000,97990000,0,0,162000000,0,0
18967,24650000,44000000,106000000,38980000,234210000,261200000,240900000,64540000,42230000,0,0,75000000,0,0
18968,111840000,61530000,0,0,111000000,0,0,32990000,94700000,271400000,40500000,388060000,805400000,919200000
18969,206840000,122640000,0,0,200000000,0,0,66060000,142500000,466800000,92700000,639590000,1163300000,1265100000
18970,140110000,89400000,0,0,171000000,0,0,54239000,94000000,325700000,73680000,490400000,742900000,763700000
18971,29259000,86700000,212200000,43290000,171180000,531300000,612200000,85620000,56540000,0,0,9900000,0,0
18972,55900000,136700000,426400000,77170000,591960000,1108100000,1201700000,178830000,104220000,0,0,163000000,0,0
18973,35840000,72700000,223100000,52070000,370410000,567600000,587400000,105630000,63870000,0,0,113000000,0,0
18974,49870000,27280000,0,0,31800000,0,0,14370000,51500000,121500000,16370000,142720000,370100000,438200000
18975,160240000,96950000,0,0,154000000,0,0,50370000,116600000,367000000,72490000,507670000,930700000,1010400000
18976,104710000,65930000,0,0,129000000,0,0,41480000,68000000,247400000,53790000,372020000,566500000,582300000
18977,27610000,82000000,197000000,40730000,211040000,524300000,600600000,80030000,53340000,0,0,36000000,0,0
18978,52630000,131900000,406700000,72910000,569770000,1079200000,1180200000,170210000,99420000,0,0,156000000,0,0
18979,39700000,90700000,262600000,58730000,429170000,704600000,747600000,123120000,74050000,0,0,128000000,0,0
18980,10910000,270000,0,6280000,27350000,0,0,2230000,16300000,47000000,0,53100000,182200000,243200000
18981,160570000,92950000,0,0,157000000,0,0,48770000,121000000,371400000,66260000,526830000,1013500000,1127100000
18982,188770000,115180000,0,0,190000000,0,0,64030000,130700000,430100000,90610000,592330000,1029900000,1101400000
18983,60330000,38400000,0,0,127000000,0,0,24954000,31200000,141100000,32090000,306120000,334200000,316500000
18984,47064000,125400000,350100000,67510000,439580000,912200000,1007800000,143520000,89330000,0,0,105000000,0,0
18985,50150000,116200000,368100000,69580000,530310000,954900000,1029100000,158030000,92580000,0,0,150000000,0,0
18986,21690000,37500000,116900000,34270000,232300000,287800000,278600000,60000000,38470000,0,0,76000000,0,0
18987,98550000,57740000,0,0,86000000,0,0,29680000,86700000,228000000,40360000,319300000,650400000,734000000
18988,159440000,97480000,0,0,157000000,0,0,52750000,111200000,363600000,75470000,499930000,883800000,948300000
18989,58130000,35860000,0,0,102000000,0,0,24780000,30600000,139700000,29580000,259620000,319700000,309900000
18990,41970000,113400000,310000000,59090000,402310000,828900000,922700000,125700000,78910000,0,0,98000000,0,0
18991,50810000,124200000,384100000,71310000,552870000,1024500000,1117200000,163860000,96170000,0,0,154000000,0,0
18992,31830000,66200000,181800000,48410000,328390000,476700000,487800000,93220000,57510000,0,0,102000000,0,0
18993,66070000,34150000,0,0,63000000,0,0,18520000,62300000,169100000,19820000,232660000,532100000,623800000
18994,193710000,114040000,0,0,187000000,0,0,60130000,137000000,442600000,83710000,610900000,1144200000,1257900000
18995,178220000,110700000,0,0,190000000,0,0,64526000,122300000,412600000,89420000,576020000,952700000,999100000
