date and time,S1,S2,S3,S4,S5
2016-01-03 22:00:00,10.8684,12.3676,13.3494,13.3775,13.3832
2016-01-03 23:00:00,10.8324,12.36195,13.31335,13.3797,13.382850000000001
2016-01-04 00:00:00,10.7964,12.3563,13.2773,13.3819,13.3825
2016-01-04 01:00:00,10.69765,12.36785,13.18075,13.386099999999999,13.3796
2016-01-04 02:00:00,10.5989,12.3794,13.0842,13.3903,13.3767
2016-01-04 03:00:00,10.527000000000001,12.53425,13.034849999999999,13.38875,13.37745
2016-01-04 04:00:00,10.4551,12.6891,12.9855,13.3872,13.3782
2016-01-04 05:00:00,10.40035,12.5641,13.02435,13.3732,13.37955
2016-01-04 06:00:00,10.3456,12.4391,13.0632,13.3592,13.3809
2016-01-04 07:00:00,10.531749999999999,12.3906,13.1589,13.3646,13.372250000000001
2016-01-04 08:00:00,10.7179,12.3421,13.2546,13.37,13.3636
2016-01-04 09:00:00,10.8156,12.37855,13.285350000000001,13.3704,13.3591
2016-01-04 10:00:00,10.9133,12.415,13.3161,13.3708,13.3546
2016-01-04 11:00:00,10.8812,12.4034,13.28855,13.36825,13.353
2016-01-04 12:00:00,10.8491,12.3918,13.261,13.3657,13.3514
2016-01-04 13:00:00,10.73695,12.3779,13.1675,13.365300000000001,13.35865
2016-01-04 14:00:00,10.6248,12.364,13.074,13.3649,13.3659
2016-01-04 15:00:00,10.57685,12.576250000000002,13.0043,13.3628,13.3662
2016-01-04 16:00:00,10.5289,12.7885,12.9346,13.3607,13.3665
2016-01-04 17:00:00,10.401399999999999,12.878250000000001,12.92945,13.3559,13.36505
2016-01-04 18:00:00,10.2739,12.968,12.9243,13.3511,13.3636
2016-01-04 19:00:00,10.33425,12.6614,13.012,13.33915,13.34
2016-01-04 20:00:00,10.3946,12.3548,13.0997,13.3272,13.3164
2016-01-04 21:00:00,10.614650000000001,12.35115,13.1706,13.3446,13.31025
2016-01-04 22:00:00,10.8347,12.3475,13.2415,13.362,13.3041
2016-01-04 23:00:00,10.86595,12.3553,13.2437,13.3596,13.301400000000001
2016-01-05 00:00:00,10.8972,12.3631,13.2459,13.3572,13.2987
2016-01-05 01:00:00,10.832699999999999,12.35915,13.185500000000001,13.34655,13.302150000000001
2016-01-05 02:00:00,10.7682,12.3552,13.1251,13.3359,13.3056
2016-01-05 03:00:00,10.721250000000001,12.4772,13.046800000000001,13.333,13.326
2016-01-05 04:00:00,10.6743,12.5992,12.9685,13.3301,13.3464
2016-01-05 05:00:00,10.60815,12.71505,12.95795,13.3263,13.3464
2016-01-05 06:00:00,10.542,12.8309,12.9474,13.3225,13.3464
2016-01-05 07:00:00,10.55985,12.5866,13.01625,13.31955,13.323049999999999
2016-01-05 08:00:00,10.5777,12.3423,13.0851,13.3166,13.2997
2016-01-05 09:00:00,10.7608,12.370899999999999,13.15305,13.3294,13.29505
2016-01-05 10:00:00,10.9439,12.3995,13.221,13.3422,13.2904
2016-01-05 11:00:00,10.95825,12.411950000000001,13.2256,13.34105,13.29035
2016-01-05 12:00:00,10.9726,12.4244,13.2302,13.3399,13.2903
2016-01-05 13:00:00,10.92675,12.408100000000001,13.1695,13.3317,13.29215
2016-01-05 14:00:00,10.8809,12.3918,13.1088,13.3235,13.294
2016-01-05 15:00:00,10.85415,12.554,13.02415,13.31885,13.31175
2016-01-05 16:00:00,10.8274,12.7162,12.9395,13.3142,13.3295
2016-01-05 17:00:00,10.7349,13.0547,12.90455,13.30885,13.3301
2016-01-05 18:00:00,10.6424,13.3932,12.8696,13.3035,13.3307
2016-01-05 19:00:00,10.56795,13.0389,12.90145,13.290700000000001,13.331050000000001
2016-01-05 20:00:00,10.4935,12.6846,12.9333,13.2779,13.3314
2016-01-05 21:00:00,10.6853,12.5208,13.0348,13.295300000000001,13.311399999999999
2016-01-05 22:00:00,10.8771,12.357,13.1363,13.3127,13.2914
2016-01-05 23:00:00,10.93655,12.38525,13.1601,13.3156,13.29135
2016-01-06 00:00:00,10.996,12.4135,13.1839,13.3185,13.2913
2016-01-06 01:00:00,10.9805,12.399450000000002,13.162949999999999,13.313749999999999,13.29185
2016-01-06 02:00:00,10.965,12.3854,13.142,13.309,13.2924
