sta_num,from,zone,zone_new,date,year,mon,day_real,month,no,nh,cha
SS16,haiyang,1,1,2015/5/19,2015,5,19,5,0.241,0.077,
SS17,haiyang,1,1,2015/5/19,2015,5,19,5,0.288,0.061,
SS18,haiyang,4,4,2015/5/19,2015,5,19,5,0.305,0.079,
SS19,haiyang,4,4,2015/5/19,2015,5,19,5,0.247,0.089,
SS20,haiyang,3,3,2015/5/19,2015,5,19,5,0.204,0.069,
SS21,haiyang,3,0,2015/5/19,2015,5,19,5,0.209,0.085,
SS22,haiyang,3,3,2015/5/19,2015,5,19,5,0.206,0.085,
SS23,haiyang,4,5,2015/5/19,2015,5,19,5,0.229,0.076,
SS24,haiyang,4,5,2015/5/19,2015,5,19,5,0.177,0.075,
SS08,haiyang,2,2,2015/8/19,2015,8,19,8,0.187,0.044,
SS09,haiyang,2,2,2015/8/19,2015,8,19,8,0.189,0.042,
SS10,haiyang,2,2,2015/8/19,2015,8,19,8,0.179,0.04,
SS11,haiyang,2,1,2015/8/19,2015,8,19,8,0.114,0.04,
SS15,haiyang,1,1,2015/8/18,2015,8,18,8,0.164,0.05,
SS16,haiyang,1,1,2015/8/18,2015,8,18,8,0.144,0.046,
SS17,haiyang,1,1,2015/8/18,2015,8,18,8,0.147,0.049,
SS18,haiyang,4,4,2015/8/18,2015,8,18,8,0.159,0.053,
SS19,haiyang,4,4,2015/8/18,2015,8,18,8,0.137,0.056,
SS20,haiyang,3,3,2015/8/17,2015,8,17,8,0.104,0.041,
SS21,haiyang,3,0,2015/8/17,2015,8,17,8,0.108,0.043,
SS22,haiyang,3,3,2015/8/17,2015,8,17,8,0.11,0.05,
SS23,haiyang,4,5,2015/8/18,2015,8,18,8,0.108,0.039,
SS24,haiyang,4,5,2015/8/18,2015,8,18,8,0.114,0.035,
SS08,haiyang,2,2,2015/10/16,2015,10,16,11,0.362,0.025,
SS09,haiyang,2,2,2015/10/12,2015,10,12,11,0.275,0.036,
SS10,haiyang,2,2,2015/10/16,2015,10,16,11,0.359,0.052,
SS11,haiyang,2,1,2015/10/16,2015,10,16,11,0.364,0.022,
SS15,haiyang,1,1,2015/10/14,2015,10,14,11,0.357,0.061,
SS17,haiyang,1,1,2015/10/14,2015,10,14,11,0.246,0.013,
SS18,haiyang,4,4,2015/10/14,2015,10,14,11,0.352,0.024,
