sta_num,from,zone,zone_new,date,year,mon,day_real,month,no,nh,cha
FJD10018,huanbao2,2,2,2020/4/21,2020,4,21,5,0.506,0.15,1.44
FJS0910,huanbao2,2,2,2020/4/21,2020,4,21,5,0.515,0.155,1.55
FJD10005,huanbao2,3,3,2020/5/14,2020,5,14,5,0.267,0.129,0.865
FJS0917,huanbao2,3,3,2020/4/21,2020,4,21,5,0.3123,0.20333,2.3067
FJD10017,huanbao2,3,0,2020/4/21,2020,4,21,5,0.14,1.262,1.19
FJD10006,huanbao2,3,3,2020/5/14,2020,5,14,5,0.2233,0.094,1.57
FJS0914,huanbao2,4,0,2020/4/21,2020,4,21,5,0.323,0.63833,1.3267
FJS0918,huanbao2,1,1,2020/5/20,2020,5,20,5,0.2123,0.08167,2.1033
FJS0916,huanbao2,1,1,2020/4/21,2020,4,21,5,0.422,0.235,1.97
FJD10024,huanbao2,4,4,2020/5/20,2020,5,20,5,0.2147,0.24333,1.45
FJD10007,huanbao2,5,5,2020/5/14,2020,5,14,5,0.1422,0.0675,0.7575
FJS0912,huanbao2,3,0,2020/4/21,2020,4,21,5,0.424,0.3275,2.1
FJD10030,huanbao2,2,0,2020/4/21,2020,4,21,5,0.6905,0.1235,1.52
FJS0907,huanbao2,2,0,2020/4/21,2020,4,21,5,0.741,0.11,1.31
FJD10031,huanbao2,1,1,2020/4/21,2020,4,21,5,0.502,0.21,2.26
FJD10004,huanbao2,1,1,2020/5/14,2020,5,14,5,0.3935,0.1465,3.17
FJD10023,huanbao2,4,4,2020/5/20,2020,5,20,5,0.2023,0.105,1.1967
FJD10022,huanbao2,1,1,2020/4/21,2020,4,21,5,0.3625,0.131,1.77
FJS0909,huanbao2,2,0,2020/4/21,2020,4,21,5,0.688,0.2625,1.3
FJS0911,huanbao2,2,2,2020/4/21,2020,4,21,5,0.493,0.2025,1.53
FJS0915,huanbao2,3,3,2020/4/21,2020,4,21,5,0.35,0.1425,2.095
FJS0913,huanbao2,1,0,2020/4/21,2020,4,21,5,0.484,0.65,2.33
FJD10019,huanbao2,2,2,2020/8/18,2020,8,18,8,0.1605,0.0215,1.97
FJD10018,huanbao2,2,2,2020/8/18,2020,8,18,8,0.2115,0.0255,3.51
FJS0910,huanbao2,2,2,2020/8/18,2020,8,18,8,0.237,0.017,4
FJD10005,huanbao2,3,3,2020/8/13,2020,8,13,8,0.318,0.005,1.965
FJS0917,huanbao2,3,3,2020/8/19,2020,8,19,8,0.104,0.0025,0.87
FJD10017,huanbao2,3,3,2020/8/19,2020,8,19,8,0.18,0.017,0.92
FJD10006,huanbao2,3,3,2020/8/13,2020,8,13,8,0.3413,0.005,1.7867
FJS0914,huanbao2,4,4,2020/8/19,2020,8,19,8,0.1493,0.02967,0.7567
FJS0918,huanbao2,1,1,2020/8/19,2020,8,19,8,0.1465,0.001,0.87
FJS0916,huanbao2,1,1,2020/8/18,2020,8,18,8,0.255,0.082,0.93
FJD10024,huanbao2,4,4,2020/8/19,2020,8,19,8,0.123,0.00967,1.6333
FJD10007,huanbao2,5,5,2020/8/1,2020,8,1,8,0.08,0.00285,0.77
FJS0912,huanbao2,3,3,2020/8/18,2020,8,18,8,0.1365,0.0075,1.34
FJD10030,huanbao2,2,2,2020/8/18,2020,8,18,8,0.355,0.012,6.58
FJS0907,huanbao2,2,2,2020/8/18,2020,8,18,8,0.415,0.02,6.93
FJD10031,huanbao2,1,1,2020/8/18,2020,8,18,8,0.208,0.029,1.4
FJD10004,huanbao2,1,1,2020/8/13,2020,8,13,8,0.325,0.011,1.785
FJD10023,huanbao2,4,4,2020/8/19,2020,8,19,8,0.0653,0.00367,1.5533
FJD10022,huanbao2,1,1,2020/8/18,2020,8,18,8,0.16,0.0075,0.86
FJS0909,huanbao2,2,2,2020/8/18,2020,8,18,8,0.1745,0.0185,1.57
FJS0911,huanbao2,2,2,2020/8/18,2020,8,18,8,0.15,0.039,1.805
FJS0915,huanbao2,3,3,2020/8/18,2020,8,18,8,0.1325,0.027,1.39
FJS0913,huanbao2,1,1,2020/8/18,2020,8,18,8,0.18,0.019,1.17
FJD10019,huanbao2,2,2,2020/10/13,2020,10,13,11,0.5765,0.001,2.26
FJD10018,huanbao2,2,0,2020/10/13,2020,10,13,11,0.6185,0.001,1.805
FJS0910,huanbao2,2,0,2020/10/13,2020,10,13,11,0.74,0.001,1.91
FJD10005,huanbao2,3,3,2020/11/3,2020,11,3,11,0.421,0.074,0.325
FJS0917,huanbao2,3,3,2020/10/13,2020,10,13,11,0.402,0.021,2.41
FJD10017,huanbao2,3,3,2020/10/13,2020,10,13,11,0.344,0.001,1.7
FJD10006,huanbao2,3,3,2020/11/3,2020,11,3,11,0.5347,0.02933,0.6867
FJS0914,huanbao2,4,4,2020/10/13,2020,10,13,11,0.4463,0.01067,1.7033
FJS0918,huanbao2,1,1,2020/10/13,2020,10,13,11,0.27,0.001,3.74
FJS0916,huanbao2,1,0,2020/10/13,2020,10,13,11,0.816,0.284,2.41
FJD10024,huanbao2,4,4,2020/10/13,2020,10,13,11,0.2985,0.00225,3.82
FJD10007,huanbao2,5,5,2020/11/22,2020,11,22,11,0.314,0.01275,0.56
FJS0912,huanbao2,3,3,2020/10/13,2020,10,13,11,0.466,0.001,2.605
FJD10030,huanbao2,2,0,2020/10/13,2020,10,13,11,0.847,0.001,1.8
FJS0907,huanbao2,2,0,2020/10/13,2020,10,13,11,0.852,0.001,2.11
FJD10031,huanbao2,1,0,2020/10/13,2020,10,13,11,0.704,0.005,3.755
FJD10004,huanbao2,1,0,2020/11/3,2020,11,3,11,0.6215,0.067,0.66
FJD10023,huanbao2,4,4,2020/10/13,2020,10,13,11,0.384,0.001,3.78
FJD10022,huanbao2,1,0,2020/10/13,2020,10,13,11,0.625,0.019,2.26
FJS0909,huanbao2,2,0,2020/10/13,2020,10,13,11,0.703,0.001,2.4
FJS0911,huanbao2,2,0,2020/10/13,2020,10,13,11,0.6065,0.001,2.385
FJS0915,huanbao2,3,3,2020/10/13,2020,10,13,11,0.4475,0.001,3.045
FJS0913,huanbao2,1,1,2020/10/13,2020,10,13,11,0.573,0.031,1.77
